Interface IP,Interface ID,Sequence Number,Latency
163.152.3.135,2,1004,1.72164e+09
163.152.3.135,2,1005,1.72164e+09
163.152.3.135,2,1006,1.72164e+09
163.152.3.135,2,1007,1.72164e+09
163.152.3.135,2,1008,1.72164e+09
163.152.3.135,2,1009,1.72164e+09
163.152.3.135,2,1010,1.72164e+09
163.152.3.135,2,1011,1.72164e+09
163.152.3.135,2,1012,1.72164e+09
163.152.3.135,2,1013,1.72164e+09
163.152.3.135,2,1014,1.72164e+09
163.152.3.135,2,1015,1.72164e+09
163.152.3.135,2,1016,1.72164e+09
163.152.3.135,2,1017,1.72164e+09
163.152.3.135,2,1018,1.72164e+09
163.152.3.135,2,1019,1.72164e+09
163.152.3.135,2,1020,1.72164e+09
163.152.3.135,2,1021,1.72164e+09
163.152.3.135,2,1022,1.72164e+09
163.152.3.135,2,1023,1.72164e+09
163.152.3.135,2,1024,1.72164e+09
163.152.3.135,2,1025,1.72164e+09
163.152.3.135,2,1026,1.72164e+09
163.152.3.135,2,1027,1.72164e+09
163.152.3.135,2,1028,1.72164e+09
163.152.3.135,2,1029,1.72164e+09
163.152.3.135,2,1030,1.72164e+09
163.152.3.135,2,1031,1.72164e+09
163.152.3.135,2,1032,1.72164e+09
163.152.3.135,2,1033,1.72164e+09
163.152.3.135,2,1034,1.72164e+09
163.152.3.135,2,1035,1.72164e+09
163.152.3.135,2,1036,1.72164e+09
163.152.3.135,2,1037,1.72164e+09
163.152.3.135,2,1038,1.72164e+09
163.152.3.135,2,1039,1.72164e+09
163.152.3.135,2,1040,1.72164e+09
163.152.3.135,2,1041,1.72164e+09
163.152.3.135,2,1042,1.72164e+09
163.152.3.135,2,1043,1.72164e+09
163.152.3.135,2,1044,1.72164e+09
163.152.3.135,2,1045,1.72164e+09
163.152.3.135,2,1046,1.72164e+09
163.152.3.135,2,1047,1.72164e+09
163.152.3.135,2,1048,1.72164e+09
163.152.3.135,2,1049,1.72164e+09
163.152.3.135,2,1050,1.72164e+09
163.152.3.135,2,1051,1.72164e+09
163.152.3.135,2,1052,1.72164e+09
163.152.3.135,2,1053,1.72164e+09
163.152.3.135,2,1054,1.72164e+09
163.152.3.135,2,1055,1.72164e+09
163.152.3.135,2,1056,1.72164e+09
163.152.3.135,2,1057,1.72164e+09
163.152.3.135,2,1058,1.72164e+09
163.152.3.135,2,1059,1.72164e+09
163.152.3.135,2,1060,1.72164e+09
163.152.3.135,2,1061,1.72164e+09
163.152.3.135,2,1062,1.72164e+09
163.152.3.135,2,1063,1.72164e+09
163.152.3.135,2,1064,1.72164e+09
163.152.3.135,2,1065,1.72164e+09
163.152.3.135,2,1066,1.72164e+09
163.152.3.135,2,1067,1.72164e+09
163.152.3.135,2,1068,1.72164e+09
163.152.3.135,2,1069,1.72164e+09
163.152.3.135,2,1070,1.72164e+09
163.152.3.135,2,1071,1.72164e+09
163.152.3.135,2,1072,1.72164e+09
163.152.3.135,2,1073,1.72164e+09
163.152.3.135,2,1074,1.72164e+09
163.152.3.135,2,1075,1.72164e+09
163.152.3.135,2,1076,1.72164e+09
163.152.3.135,2,1077,1.72164e+09
163.152.3.135,2,1078,1.72164e+09
163.152.3.135,2,1079,1.72164e+09
163.152.3.135,2,1080,1.72164e+09
163.152.3.135,2,1081,1.72164e+09
163.152.3.135,2,1082,1.72164e+09
163.152.3.135,2,1083,1.72164e+09
163.152.3.135,2,1084,1.72164e+09
163.152.3.135,2,1085,1.72164e+09
163.152.3.135,2,1086,1.72164e+09
163.152.3.135,2,1087,1.72164e+09
163.152.3.135,2,1088,1.72164e+09
163.152.3.135,2,1089,1.72164e+09
163.152.3.135,2,1090,1.72164e+09
163.152.3.135,2,1091,1.72164e+09
163.152.3.135,2,1092,1.72164e+09
163.152.3.135,2,1093,1.72164e+09
163.152.3.135,2,1094,1.72164e+09
163.152.3.135,2,1095,1.72164e+09
163.152.3.135,2,1096,1.72164e+09
163.152.3.135,2,1097,1.72164e+09
