Timestamp,Interface,Sequence Number,Latency
1721285490.733257,Interface 2,0,17.344592332839966
1721285490.733257,Interface 2,0,17.344592332839966
1721285490.7665637,Interface 2,1,17.34365940093994
1721285490.7665637,Interface 2,1,17.34365940093994
1721285490.8000336,Interface 2,2,17.344014167785645
1721285490.8000336,Interface 2,2,17.344014167785645
1721285490.832687,Interface 2,3,17.342215061187744
1721285490.832687,Interface 2,3,17.342215061187744
1721285490.8666823,Interface 2,4,17.342567682266235
1721285490.8666823,Interface 2,4,17.342567682266235
1721285490.900806,Interface 2,5,17.343438625335693
1721285490.900806,Interface 2,5,17.343438625335693
1721285490.933433,Interface 2,6,17.342355966567993
1721285490.933433,Interface 2,6,17.342355966567993
1721285490.9663372,Interface 2,7,17.341169834136963
1721285490.9663372,Interface 2,7,17.341169834136963
1721285490.9998066,Interface 2,8,17.34173321723938
1721285490.9998066,Interface 2,8,17.34173321723938
1721285491.0335608,Interface 2,9,17.34188485145569
1721285491.0335608,Interface 2,9,17.34188485145569
1721285491.0668044,Interface 2,10,17.33943772315979
1721285491.0668044,Interface 2,10,17.33943772315979
1721285491.099698,Interface 2,11,17.340771913528442
1721285491.099698,Interface 2,11,17.340771913528442
1721285491.1347747,Interface 2,12,17.341407299041748
1721285491.1347747,Interface 2,12,17.341407299041748
1721285491.166829,Interface 2,13,17.33761978149414
1721285491.166829,Interface 2,13,17.33761978149414
1721285491.199973,Interface 2,14,17.33715271949768
1721285491.199973,Interface 2,14,17.33715271949768
1721285491.2339978,Interface 2,15,17.340129375457764
1721285491.2339978,Interface 2,15,17.340129375457764
1721285491.2669086,Interface 2,16,17.339759349822998
1721285491.2669086,Interface 2,16,17.339759349822998
1721285491.3018262,Interface 2,17,17.341411352157593
1721285491.3018262,Interface 2,17,17.341411352157593
1721285491.334662,Interface 2,18,17.340277910232544
1721285491.334662,Interface 2,18,17.340277910232544
1721285491.367824,Interface 2,19,17.340454578399658
1721285491.367824,Interface 2,19,17.340454578399658
1721285491.401011,Interface 2,20,17.33936643600464
1721285491.401011,Interface 2,20,17.33936643600464
1721285491.435856,Interface 2,21,17.3419771194458
1721285491.435856,Interface 2,21,17.3419771194458
1721285491.469233,Interface 2,22,17.34106993675232
1721285491.469233,Interface 2,22,17.34106993675232
1721285491.5083451,Interface 2,23,17.346495389938354
1721285491.5083451,Interface 2,23,17.346495389938354
1721285491.5359921,Interface 2,24,17.340294122695923
1721285491.5359921,Interface 2,24,17.340294122695923
1721285491.5740924,Interface 2,25,17.345592498779297
1721285491.5740924,Interface 2,25,17.345592498779297
1721285491.6041057,Interface 2,26,17.32592272758484
1721285491.6041057,Interface 2,26,17.32592272758484
1721285491.6368313,Interface 2,27,17.34049701690674
1721285491.6368313,Interface 2,27,17.34049701690674
1721285491.6735945,Interface 2,28,17.343437671661377
1721285491.6735945,Interface 2,28,17.343437671661377
1721285491.7042165,Interface 2,29,17.341256856918335
1721285491.7042165,Interface 2,29,17.341256856918335
1721285491.7383142,Interface 2,30,17.34140181541443
1721285491.7383142,Interface 2,30,17.34140181541443
1721285491.7720993,Interface 2,31,17.341089487075806
1721285491.7720993,Interface 2,31,17.341089487075806
1721285491.8050237,Interface 2,32,17.34048891067505
1721285491.8050237,Interface 2,32,17.34048891067505
1721285491.8388622,Interface 2,33,17.33915877342224
1721285491.8388622,Interface 2,33,17.33915877342224
1721285491.8727984,Interface 2,34,17.341756343841553
1721285491.8727984,Interface 2,34,17.341756343841553
1721285491.9066374,Interface 2,35,17.33414053916931
1721285491.9066374,Interface 2,35,17.33414053916931
1721285491.939391,Interface 2,36,17.341366291046143
1721285491.939391,Interface 2,36,17.341366291046143
1721285491.9736419,Interface 2,37,17.337626218795776
1721285491.9736419,Interface 2,37,17.337626218795776
1721285492.0062842,Interface 2,38,17.341158151626587
1721285492.0062842,Interface 2,38,17.341158151626587
1721285492.0387933,Interface 2,39,17.32954430580139
1721285492.0387933,Interface 2,39,17.32954430580139
1721285492.0712726,Interface 2,40,17.334012031555176
1721285492.0712726,Interface 2,40,17.334012031555176
1721285492.1081839,Interface 2,41,17.339654445648193
1721285492.1081839,Interface 2,41,17.339654445648193
1721285492.1396477,Interface 2,42,17.337642192840576
1721285492.1396477,Interface 2,42,17.337642192840576
1721285492.1737337,Interface 2,43,17.341473817825317
1721285492.1737337,Interface 2,43,17.341473817825317
1721285492.2116396,Interface 2,44,17.344421863555908
1721285492.2116396,Interface 2,44,17.344421863555908
1721285492.2398844,Interface 2,45,17.339194297790527
1721285492.2398844,Interface 2,45,17.339194297790527
1721285492.2747893,Interface 2,46,17.337918519973755
1721285492.2747893,Interface 2,46,17.337918519973755
1721285492.309105,Interface 2,47,17.340931177139282
1721285492.309105,Interface 2,47,17.340931177139282
1721285492.3427873,Interface 2,48,17.342808723449707
1721285492.3427873,Interface 2,48,17.342808723449707
1721285492.381321,Interface 2,49,17.347137928009033
1721285492.381321,Interface 2,49,17.347137928009033
1721285492.4094613,Interface 2,50,17.343204259872437
1721285492.4094613,Interface 2,50,17.343204259872437
1721285492.4424243,Interface 2,51,17.34279155731201
1721285492.4424243,Interface 2,51,17.34279155731201
1721285492.4754648,Interface 2,52,17.34172749519348
1721285492.4754648,Interface 2,52,17.34172749519348
1721285492.5091865,Interface 2,53,17.342072010040283
1721285492.5091865,Interface 2,53,17.342072010040283
1721285492.5449681,Interface 2,54,17.34468173980713
1721285492.5449681,Interface 2,54,17.34468173980713
1721285492.5758526,Interface 2,55,17.342368125915527
1721285492.5758526,Interface 2,55,17.342368125915527
1721285492.6117213,Interface 2,56,17.34436535835266
1721285492.6117213,Interface 2,56,17.34436535835266
1721285492.6418562,Interface 2,57,17.33967113494873
1721285492.6418562,Interface 2,57,17.33967113494873
1721285492.6777434,Interface 2,58,17.343007802963257
1721285492.6777434,Interface 2,58,17.343007802963257
1721285492.7102952,Interface 2,59,17.342822551727295
1721285492.7102952,Interface 2,59,17.342822551727295
1721285492.7451193,Interface 2,60,17.343620538711548
1721285492.7451193,Interface 2,60,17.343620538711548
1721285492.7773895,Interface 2,61,17.342530250549316
1721285492.7773895,Interface 2,61,17.342530250549316
1721285492.8107708,Interface 2,62,17.342212200164795
1721285492.8107708,Interface 2,62,17.342212200164795
