Interface IP_1,Interface ID_1,Sequence Number,Latency_1,Interface IP_2,Interface ID_2,Latency_2
106.101.130.104,1,5,0.0535309314727783,118.235.3.24,2,0.0438766479492187
106.101.130.104,1,4,0.0544459819793701,118.235.3.24,2,0.0455856323242187
106.101.130.104,1,3,0.0554308891296386,118.235.3.24,2,0.0454931259155273
106.101.130.104,1,2,0.0562329292297363,118.235.3.24,2,0.0456678867340087
106.101.130.104,1,1,0.0569453239440918,118.235.3.24,2,0.0457777976989746
106.101.130.104,1,0,0.0577545166015625,118.235.3.24,2,0.0461127758026123
106.101.130.104,1,41,0.0797045230865478,118.235.3.24,2,0.0479049682617187
106.101.130.104,1,40,0.0804393291473388,118.235.3.24,2,0.048724889755249
106.101.130.104,1,39,0.0807573795318603,118.235.3.24,2,0.0486891269683837
106.101.130.104,1,38,0.0811452865600586,118.235.3.24,2,0.0483198165893554
106.101.130.104,1,53,0.0526397228240966,118.235.3.24,2,0.0465283393859863
106.101.130.104,1,52,0.0536305904388427,118.235.3.24,2,0.048755407333374
106.101.130.104,1,51,0.0540862083435058,118.235.3.24,2,0.0487744808197021
106.101.130.104,1,50,0.0546836853027343,118.235.3.24,2,0.0488622188568115
106.101.130.104,1,49,0.0552339553833007,118.235.3.24,2,0.0489842891693115
106.101.130.104,1,48,0.056042194366455,118.235.3.24,2,0.0319199562072753
106.101.130.104,1,59,0.0509557723999023,118.235.3.24,2,0.0425553321838378
106.101.130.104,1,58,0.0517234802246093,118.235.3.24,2,0.0438065528869628
106.101.130.104,1,57,0.0520386695861816,118.235.3.24,2,0.0436668395996093
106.101.130.104,1,56,0.0524573326110839,118.235.3.24,2,0.0435667037963867
106.101.130.104,1,55,0.0527400970458984,118.235.3.24,2,0.0434165000915527
106.101.130.104,1,719,0.0519685745239257,118.235.3.24,2,0.0451526641845703
106.101.130.104,1,718,0.0526719093322753,118.235.3.24,2,0.0466039180755615
106.101.130.104,1,717,0.0528357028961181,118.235.3.24,2,0.0462088584899902
106.101.130.104,1,716,0.053490400314331,118.235.3.24,2,0.0462605953216552
106.101.130.104,1,724,0.0506596565246582,118.235.3.24,2,0.0344679355621337
106.101.130.104,1,723,0.0508935451507568,118.235.3.24,2,0.0346369743347168
106.101.130.104,1,722,0.0515344142913818,118.235.3.24,2,0.0342075824737548
106.101.130.104,1,721,0.0519309043884277,118.235.3.24,2,0.0342552661895751
106.101.130.104,1,720,0.0522694587707519,118.235.3.24,2,0.0343892574310302
106.101.130.104,1,9317,0.055525779724121,118.235.3.24,2,0.0431234836578369
106.101.130.104,1,9312,0.0564634799957275,118.235.3.24,2,0.0435385704040527
106.101.130.104,1,9316,0.0565252304077148,118.235.3.24,2,0.0442984104156494
106.101.130.104,1,9315,0.0569090843200683,118.235.3.24,2,0.0441248416900634
106.101.130.104,1,9314,0.05721116065979,118.235.3.24,2,0.0439116954803466
106.101.130.104,1,9313,0.0574324131011962,118.235.3.24,2,0.0437180995941162
106.101.130.104,1,13245,0.0514161586761474,118.235.3.24,2,0.0366764068603515
106.101.130.104,1,13246,0.0514664649963378,118.235.3.24,2,0.0366187095642089
106.101.130.104,1,14069,0.0537159442901611,118.235.3.24,2,0.049027681350708
106.101.130.104,1,14064,0.0570490360260009,118.235.3.24,2,0.0313985347747802
106.101.130.104,1,14066,0.0596132278442382,118.235.3.24,2,0.0496773719787597
106.101.130.104,1,14067,0.059793472290039,118.235.3.24,2,0.0498127937316894
106.101.130.104,1,14065,0.0603854656219482,118.235.3.24,2,0.0494880676269531
106.101.130.104,1,14068,0.0609219074249267,118.235.3.24,2,0.0499153137207031
106.101.130.104,1,18845,0.0677888393402099,118.235.3.24,2,0.0404253005981445
106.101.130.104,1,18844,0.0685741901397705,118.235.3.24,2,0.0416610240936279
106.101.130.104,1,18843,0.0688700675964355,118.235.3.24,2,0.0412697792053222
106.101.130.104,1,18842,0.0695264339447021,118.235.3.24,2,0.0412287712097168
106.101.130.104,1,18841,0.0698349475860595,118.235.3.24,2,0.0411481857299804
106.101.130.104,1,19625,0.0591330528259277,118.235.3.24,2,0.0419921875
106.101.130.104,1,19623,0.0601165294647216,118.235.3.24,2,0.0431845188140869
106.101.130.104,1,19622,0.0606410503387451,118.235.3.24,2,0.0433666706085205
