Interface IP,Interface ID,Sequence Number,Latency
39.7.28.131,2,1,0.07555079460144043
39.7.28.131,1,1,0.07728195190429688
39.7.28.131,1,2,0.07755470275878906
39.7.28.131,2,2,0.07781195640563965
39.7.28.131,2,3,0.07828831672668457
39.7.28.131,1,3,0.07862591743469238
39.7.28.131,1,4,0.07888674736022949
39.7.28.131,1,5,0.0797567367553711
39.7.28.131,2,4,0.08009195327758789
39.7.28.131,2,5,0.08440542221069336
39.7.28.131,2,6,0.051502227783203125
39.7.28.131,1,6,0.05218052864074707
39.7.28.131,1,7,0.05328965187072754
39.7.28.131,2,7,0.05361628532409668
39.7.28.131,2,8,0.05436825752258301
39.7.28.131,1,8,0.05467534065246582
39.7.28.131,2,9,0.055117130279541016
39.7.28.131,1,9,0.05569767951965332
39.7.28.131,2,10,0.056017160415649414
39.7.28.131,2,11,0.05649566650390625
39.7.28.131,1,10,0.05710935592651367
39.7.28.131,1,11,0.05835700035095215
39.7.28.131,1,12,0.025200605392456055
39.7.28.131,2,12,0.025460004806518555
39.7.28.131,1,13,0.027335405349731445
39.7.28.131,1,14,0.028018474578857422
39.7.28.131,2,13,0.02840280532836914
39.7.28.131,2,14,0.02853560447692871
39.7.28.131,1,15,0.029744863510131836
39.7.28.131,2,17,0.1865372657775879
39.7.28.131,1,17,0.18697738647460938
39.7.28.131,1,16,0.1880652904510498
39.7.28.131,2,15,0.18833351135253906
39.7.28.131,2,16,0.18847131729125977
39.7.28.131,1,23,0.15361499786376953
39.7.28.131,1,18,0.15536808967590332
39.7.28.131,2,18,0.15533089637756348
39.7.28.131,1,19,0.15787672996520996
39.7.28.131,1,20,0.1577160358428955
39.7.28.131,1,21,0.15800881385803223
39.7.28.131,1,22,0.15782809257507324
39.7.28.131,2,23,0.15818309783935547
39.7.28.131,2,19,0.15971612930297852
39.7.28.131,2,20,0.16055965423583984
39.7.28.131,2,21,0.16040515899658203
39.7.28.131,2,29,0.12847447395324707
39.7.28.131,2,22,0.16368389129638672
39.7.28.131,2,24,0.13022685050964355
39.7.28.131,1,29,0.12919044494628906
39.7.28.131,2,25,0.1300373077392578
39.7.28.131,2,26,0.1303248405456543
39.7.28.131,1,24,0.1329965591430664
39.7.28.131,1,25,0.13277101516723633
39.7.28.131,1,26,0.13304352760314941
39.7.28.131,1,27,0.13290143013000488
39.7.28.131,1,28,0.13270926475524902
39.7.28.131,1,30,0.09925556182861328
39.7.28.131,2,35,0.0979607105255127
39.7.28.131,1,31,0.10024714469909668
39.7.28.131,1,35,0.1002342700958252
39.7.28.131,2,27,0.1359109878540039
39.7.28.131,2,28,0.13666200637817383
39.7.28.131,2,30,0.1026921272277832
39.7.28.131,2,31,0.10568737983703613
39.7.28.131,2,32,0.10624194145202637
39.7.28.131,2,33,0.10603904724121094
39.7.28.131,2,34,0.10689377784729004
39.7.28.131,1,32,0.10764455795288086
39.7.28.131,1,33,0.10793137550354004
39.7.28.131,1,34,0.10772109031677246
39.7.28.131,2,41,0.07247567176818848
39.7.28.131,1,41,0.07266616821289062
39.7.28.131,2,36,0.07439064979553223
39.7.28.131,2,37,0.07473111152648926
39.7.28.131,2,38,0.07450270652770996
39.7.28.131,1,36,0.07614707946777344
39.7.28.131,1,37,0.07583308219909668
39.7.28.131,1,38,0.0769798755645752
39.7.28.131,1,39,0.0767815113067627
39.7.28.131,2,39,0.07714176177978516
39.7.28.131,2,40,0.07695317268371582
39.7.28.131,1,40,0.07715868949890137
39.7.28.131,1,42,0.04447627067565918
39.7.28.131,1,47,0.044820547103881836
39.7.28.131,1,43,0.045847177505493164
39.7.28.131,1,44,0.04580521583557129
39.7.28.131,1,45,0.045771121978759766
39.7.28.131,1,46,0.046189308166503906
39.7.28.131,2,42,0.04621171951293945
39.7.28.131,2,47,0.046245574951171875
39.7.28.131,2,43,0.0474848747253418
39.7.28.131,2,44,0.04741191864013672
39.7.28.131,2,45,0.04877638816833496
39.7.28.131,2,46,0.0487825870513916
39.7.28.131,1,48,0.016112089157104492
39.7.28.131,2,48,0.016045808792114258
39.7.28.131,1,49,0.0166623592376709
39.7.28.131,2,49,0.016641616821289062
39.7.28.131,2,50,0.01752758026123047
39.7.28.131,1,50,0.01763606071472168
39.7.28.131,1,51,0.018645048141479492
39.7.28.131,1,53,0.018393278121948242
39.7.28.131,1,52,0.019020557403564453
39.7.28.131,2,51,0.019231081008911133
39.7.28.131,2,53,0.0199429988861084
39.7.28.131,2,52,0.020610332489013672
39.7.28.131,1,54,0.1449143886566162
39.7.28.131,2,59,0.1446397304534912
39.7.28.131,1,55,0.1457061767578125
39.7.28.131,2,54,0.14590001106262207
39.7.28.131,2,55,0.14626049995422363
39.7.28.131,2,56,0.1462693214416504
39.7.28.131,1,59,0.1465773582458496
39.7.28.131,2,57,0.1473255157470703
39.7.28.131,2,58,0.14774775505065918
39.7.28.131,1,56,0.14801907539367676
39.7.28.131,1,57,0.14801764488220215
39.7.28.131,1,58,0.14962530136108398
39.7.28.131,2,65,0.11742854118347168
39.7.28.131,2,60,0.11845803260803223
39.7.28.131,2,61,0.11836743354797363
39.7.28.131,2,62,0.11835241317749023
39.7.28.131,2,63,0.11972308158874512
39.7.28.131,2,64,0.1197509765625
39.7.28.131,2,71,0.08580446243286133
39.7.28.131,1,65,0.11991667747497559
39.7.28.131,2,66,0.0873880386352539
39.7.28.131,2,67,0.08782052993774414
39.7.28.131,1,60,0.12163662910461426
39.7.28.131,1,61,0.12205266952514648
39.7.28.131,1,62,0.12271499633789062
39.7.28.131,1,63,0.12273097038269043
39.7.28.131,1,71,0.08896207809448242
39.7.28.131,2,68,0.09033632278442383
39.7.28.131,2,69,0.0906672477722168
39.7.28.131,2,70,0.09120345115661621
39.7.28.131,2,77,0.05643010139465332
39.7.28.131,1,64,0.1251969337463379
39.7.28.131,1,77,0.05660867691040039
39.7.28.131,1,66,0.09187078475952148
39.7.28.131,1,67,0.09278512001037598
39.7.28.131,2,72,0.06013035774230957
39.7.28.131,2,73,0.060048818588256836
39.7.28.131,1,68,0.09421038627624512
39.7.28.131,2,74,0.060591697692871094
39.7.28.131,2,75,0.06105828285217285
