Interface IP,Interface ID,Sequence Number,Latency
163.152.3.133,2,0,0.05271196365356445
163.152.3.133,2,1,0.05295586585998535
163.152.3.133,2,2,0.05298471450805664
163.152.3.133,2,3,0.05308723449707031
163.152.3.133,2,4,0.05306220054626465
163.152.3.133,2,5,0.08075642585754395
163.152.3.133,2,6,0.052635908126831055
163.152.3.133,2,7,0.05267024040222168
163.152.3.133,2,9,0.05259442329406738
163.152.3.133,2,8,0.053069353103637695
163.152.3.133,2,10,0.05284452438354492
163.152.3.133,2,11,0.0786592960357666
39.7.46.9,1,2,0.11788153648376465
39.7.46.9,1,5,0.1178741455078125
39.7.46.9,1,3,0.1185150146484375
39.7.46.9,1,4,0.11861658096313477
39.7.46.9,1,6,0.08500337600708008
163.152.3.133,2,12,0.0526578426361084
163.152.3.133,2,13,0.05272221565246582
163.152.3.133,2,15,0.052657365798950195
163.152.3.133,2,14,0.05310249328613281
163.152.3.133,2,16,0.05283188819885254
39.7.46.9,1,7,0.09377694129943848
39.7.46.9,1,8,0.09410691261291504
39.7.46.9,1,9,0.09545421600341797
39.7.46.9,1,10,0.09568333625793457
39.7.46.9,1,11,0.09589195251464844
39.7.46.9,1,12,0.06579351425170898
39.7.46.9,1,13,0.06593728065490723
39.7.46.9,1,14,0.06756043434143066
39.7.46.9,1,15,0.06945943832397461
39.7.46.9,1,17,0.07436847686767578
39.7.46.9,1,16,0.07480216026306152
163.152.3.133,2,17,0.07762694358825684
163.152.3.133,2,19,0.05257058143615723
163.152.3.133,2,18,0.05317497253417969
163.152.3.133,2,21,0.052344560623168945
163.152.3.133,2,20,0.052880048751831055
163.152.3.133,2,22,0.052881717681884766
163.152.3.133,2,23,0.07135128974914551
39.7.46.9,1,18,0.08669281005859375
163.152.3.133,2,24,0.052161216735839844
163.152.3.133,2,25,0.05195760726928711
163.152.3.133,2,27,0.05203962326049805
163.152.3.133,2,26,0.05228376388549805
163.152.3.133,2,28,0.05236411094665527
39.7.46.9,1,19,0.08837652206420898
39.7.46.9,1,20,0.08949065208435059
39.7.46.9,1,21,0.08939385414123535
39.7.46.9,1,22,0.08982586860656738
39.7.46.9,1,23,0.08965802192687988
163.152.3.133,2,29,0.06133770942687988
39.7.46.9,1,24,0.06469154357910156
39.7.46.9,1,25,0.06463789939880371
39.7.46.9,1,26,0.08315253257751465
39.7.46.9,1,27,0.08437252044677734
39.7.46.9,1,29,0.08407306671142578
39.7.46.9,1,28,0.08470416069030762
163.152.3.133,2,30,0.05233311653137207
163.152.3.133,2,31,0.05218791961669922
163.152.3.133,2,32,0.052254676818847656
163.152.3.133,2,33,0.05224895477294922
163.152.3.133,2,34,0.05225181579589844
163.152.3.133,2,35,0.07172727584838867
39.7.46.9,1,30,0.08707189559936523
163.152.3.133,2,37,0.05219531059265137
163.152.3.133,2,36,0.0527191162109375
39.7.46.9,1,31,0.08803796768188477
163.152.3.133,2,39,0.05211973190307617
163.152.3.133,2,38,0.05281257629394531
