Interface IP_1,Interface ID_1,Sequence Number,Latency_1,Interface IP_2,Interface ID_2,Latency_2
163.152.3.136,1.0,19524,0.0145614147186279,,,
163.152.3.136,1.0,19525,0.014979600906372,,,
163.152.3.136,1.0,19526,0.0155117511749267,,,
163.152.3.136,1.0,19527,0.0157845020294189,,,
163.152.3.136,1.0,19528,0.0168118476867675,,,
163.152.3.136,1.0,19535,0.0260486602783203,,,
163.152.3.136,1.0,19530,0.0302526950836181,,,
163.152.3.136,1.0,19531,0.0303137302398681,,,
163.152.3.136,1.0,19532,0.0302731990814209,,,
163.152.3.136,1.0,19533,0.0313174724578857,,,
163.152.3.136,1.0,19534,0.0325565338134765,,,
163.152.3.136,1.0,19541,0.0441062450408935,,,
163.152.3.136,1.0,26765,0.0264160633087158,,,
