Interface IP,Interface ID,Sequence Number,Latency
39.7.28.20,1,1,0.14416837692260742
39.7.28.20,1,5,0.14433646202087402
39.7.28.20,1,2,0.14525222778320312
39.7.28.20,1,3,0.14612865447998047
39.7.28.20,2,0,0.146528959274292
39.7.28.20,2,1,0.14811420440673828
39.7.28.20,2,2,0.14963388442993164
39.7.28.20,1,4,0.1499650478363037
39.7.28.20,2,3,0.15015363693237305
39.7.28.20,2,4,0.15029120445251465
39.7.28.20,2,5,0.150770902633667
39.7.28.20,2,6,0.12021541595458984
39.7.28.20,1,6,0.12076616287231445
39.7.28.20,2,7,0.12100887298583984
39.7.28.20,1,7,0.12187004089355469
39.7.28.20,2,8,0.1229865550994873
39.7.28.20,2,9,0.12407207489013672
39.7.28.20,1,8,0.12444829940795898
39.7.28.20,1,9,0.12510991096496582
39.7.28.20,2,10,0.12592864036560059
39.7.28.20,2,11,0.12620162963867188
39.7.28.20,1,10,0.1270303726196289
39.7.28.20,1,11,0.12722492218017578
39.7.28.20,2,12,0.10176444053649902
39.7.28.20,1,12,0.12012243270874023
39.7.28.20,2,13,0.12926578521728516
39.7.28.20,1,13,0.1295299530029297
39.7.28.20,2,14,0.1299431324005127
39.7.28.20,1,14,0.13079476356506348
39.7.28.20,1,15,0.1317145824432373
39.7.28.20,2,15,0.1321120262145996
39.7.28.20,2,16,0.13250350952148438
39.7.28.20,2,17,0.133544921875
39.7.28.20,1,16,0.1362323760986328
39.7.28.20,1,17,0.13658690452575684
39.7.28.20,2,18,0.10365867614746094
39.7.28.20,1,18,0.10386395454406738
39.7.28.20,2,19,0.10461306571960449
39.7.28.20,1,19,0.10521697998046875
39.7.28.20,2,20,0.10649800300598145
39.7.28.20,1,20,0.10741400718688965
39.7.28.20,2,21,0.10798931121826172
39.7.28.20,1,21,0.11298656463623047
39.7.28.20,1,22,0.12115645408630371
39.7.28.20,2,22,0.12129688262939453
39.7.28.20,1,23,0.12142729759216309
39.7.28.20,2,23,0.12141966819763184
39.7.28.20,1,24,0.11698150634765625
39.7.28.20,2,24,0.11828446388244629
39.7.28.20,1,25,0.11892986297607422
39.7.28.20,2,25,0.11969828605651855
39.7.28.20,1,26,0.11987113952636719
39.7.28.20,1,27,0.1207892894744873
39.7.28.20,2,26,0.12118196487426758
39.7.28.20,1,28,0.12227106094360352
39.7.28.20,2,27,0.12330865859985352
39.7.28.20,2,28,0.12340807914733887
39.7.28.20,1,29,0.12375497817993164
39.7.28.20,2,29,0.12371206283569336
39.7.28.20,1,30,0.1217355728149414
39.7.28.20,2,30,0.12268280982971191
39.7.28.20,1,31,0.12309408187866211
39.7.28.20,2,31,0.1251845359802246
39.7.28.20,2,32,0.12614130973815918
39.7.28.20,1,32,0.1266191005706787
39.7.28.20,1,33,0.12674999237060547
39.7.28.20,2,33,0.12720823287963867
39.7.28.20,2,34,0.12903380393981934
39.7.28.20,1,34,0.1294233798980713
39.7.28.20,1,35,0.12959742546081543
39.7.28.20,2,35,0.12982463836669922
39.7.28.20,1,36,0.1025841236114502
39.7.28.20,2,36,0.10323119163513184
39.7.28.20,1,37,0.10462093353271484
39.7.28.20,1,38,0.1125025749206543
39.7.28.20,2,37,0.11301183700561523
39.7.28.20,1,39,0.12207841873168945
39.7.28.20,2,38,0.12266278266906738
39.7.28.20,1,40,0.12401318550109863
39.7.28.20,2,39,0.12441825866699219
39.7.28.20,2,40,0.12447857856750488
39.7.28.20,2,41,0.12445569038391113
39.7.28.20,1,41,0.12485146522521973
39.7.28.20,1,42,0.12210583686828613
39.7.28.20,1,43,0.12221503257751465
39.7.28.20,2,42,0.12265133857727051
39.7.28.20,2,43,0.12323212623596191
39.7.28.20,2,44,0.12399768829345703
39.7.28.20,2,45,0.12447071075439453
39.7.28.20,1,44,0.1249380111694336
39.7.28.20,1,45,0.12520384788513184
39.7.28.20,2,46,0.1268610954284668
39.7.28.20,1,46,0.12709951400756836
39.7.28.20,2,47,0.1273365020751953
39.7.28.20,1,47,0.12728381156921387
39.7.28.20,2,48,0.10118746757507324
