Interface IP_1,Interface ID_1,Sequence Number,Latency_1,Interface IP_2,Interface ID_2,Latency_2,Latency Difference
163.152.3.141,1.0,149,0.0148684978485107,163.152.3.141,2,0.0398619174957275,0.024993419647216797
163.152.3.141,1.0,239,0.0157473087310791,163.152.3.141,2,0.0364160537719726,0.0206687450408935
163.152.3.141,1.0,437,0.0408194065093994,163.152.3.141,2,0.018059492111206,0.0227599143981934
163.152.3.141,1.0,443,0.0381176471710205,163.152.3.141,2,0.0154411792755126,0.022676467895507903
163.152.3.141,1.0,449,0.0411438941955566,163.152.3.141,2,0.0188879966735839,0.022255897521972698
163.152.3.141,1.0,455,0.0379755496978759,163.152.3.141,2,0.0143828392028808,0.0235927104949951
163.152.3.141,1.0,479,0.0510756969451904,163.152.3.141,2,0.0205802917480468,0.030495405197143603
163.152.3.141,1.0,485,0.0375347137451171,163.152.3.141,2,0.0142402648925781,0.023294448852538997
163.152.3.141,1.0,581,0.0399661064147949,163.152.3.141,2,0.0166685581207275,0.0232975482940674
163.152.3.141,1.0,593,0.043837547302246,163.152.3.141,2,0.0198805332183837,0.023957014083862298
163.152.3.141,1.0,599,0.0528442859649658,163.152.3.141,2,0.0203640460968017,0.032480239868164104
163.152.3.141,1.0,617,0.0526642799377441,163.152.3.141,2,0.0291857719421386,0.0234785079956055
163.152.3.141,1.0,665,0.0263543128967285,163.152.3.141,2,0.0549092292785644,0.0285549163818359
163.152.3.141,1.0,671,0.0160145759582519,163.152.3.141,2,0.0499076843261718,0.033893108367919894
163.152.3.141,1.0,677,0.0317583084106445,163.152.3.141,2,0.0554637908935546,0.0237054824829101
163.152.3.141,1.0,683,0.0385830402374267,163.152.3.141,2,0.0627062320709228,0.024123191833496094
163.152.3.141,1.0,1385,0.0143976211547851,163.152.3.141,2,0.0452785491943359,0.030880928039550802
163.152.3.141,1.0,1439,0.0172421932220459,163.152.3.141,2,0.0384852886199951,0.021243095397949205
163.152.3.141,1.0,1475,0.0140407085418701,163.152.3.141,2,0.0412647724151611,0.027224063873291
163.152.3.141,1.0,1493,0.0147826671600341,163.152.3.141,2,0.043532371520996,0.028749704360961897
163.152.3.141,1.0,1499,0.0162065029144287,163.152.3.141,2,0.0482363700866699,0.0320298671722412
163.152.3.141,1.0,1505,0.015986680984497,163.152.3.141,2,0.0513150691986084,0.0353283882141114
163.152.3.141,1.0,1511,0.0193450450897216,163.152.3.141,2,0.0394232273101806,0.020078182220459
163.152.3.141,1.0,1547,0.0151994228363037,163.152.3.141,2,0.0365712642669677,0.021371841430663997
163.152.3.141,1.0,1793,0.0148775577545166,163.152.3.141,2,0.0659215450286865,0.051043987274169894
163.152.3.141,1.0,1799,0.0154900550842285,163.152.3.141,2,0.063852310180664,0.04836225509643549
163.152.3.141,1.0,1805,0.0157620906829834,163.152.3.141,2,0.0403344631195068,0.024572372436523403
163.152.3.141,1.0,1823,0.0160434246063232,163.152.3.141,2,0.0643227100372314,0.0482792854309082
163.152.3.141,1.0,1829,0.0168073177337646,163.152.3.141,2,0.0728824138641357,0.0560750961303711
163.152.3.141,1.0,1835,0.0147535800933837,163.152.3.141,2,0.0525746345520019,0.0378210544586182
163.152.3.141,1.0,1853,0.0154776573181152,163.152.3.141,2,0.0581743717193603,0.0426967144012451
163.152.3.141,1.0,1859,0.0176334381103515,163.152.3.141,2,0.0500464439392089,0.0324130058288574
163.152.3.141,1.0,1865,0.0143918991088867,163.152.3.141,2,0.0432362556457519,0.0288443565368652
163.152.3.141,1.0,1889,0.0154173374176025,163.152.3.141,2,0.0586984157562255,0.043281078338623005
163.152.3.141,1.0,1895,0.0139603614807128,163.152.3.141,2,0.0531105995178222,0.0391502380371094
163.152.3.141,1.0,1901,0.0152473449707031,163.152.3.141,2,0.0404014587402343,0.025154113769531198
