Interface IP_1,Interface ID_1,Sequence Number,Latency_1,Interface IP_2,Interface ID_2,Latency_2
,,250,,211.234.180.204,2.0,0.0343084335327148
,,286,,211.234.180.204,2.0,0.171497106552124
,,288,,211.234.180.204,2.0,0.1380996704101562
,,289,,211.234.180.204,2.0,0.1382298469543457
,,290,,211.234.180.204,2.0,0.1382932662963867
,,291,,211.234.180.204,2.0,0.1382851600646972
,,292,,211.234.180.204,2.0,0.1382617950439453
,,294,,211.234.180.204,2.0,0.1047983169555664
,,295,,211.234.180.204,2.0,0.1052978038787841
,,296,,211.234.180.204,2.0,0.1065039634704589
,,324,,211.234.180.204,2.0,0.0660829544067382
,,325,,211.234.180.204,2.0,0.0664882659912109
,,326,,211.234.180.204,2.0,0.0665383338928222
,,327,,211.234.180.204,2.0,0.0665581226348877
,,328,,211.234.180.204,2.0,0.0670328140258789
,,344,,211.234.180.204,2.0,0.1411197185516357
,,345,,211.234.180.204,2.0,0.141951322555542
,,346,,211.234.180.204,2.0,0.1436367034912109
,,351,,211.234.180.204,2.0,0.1117887496948242
,,352,,211.234.180.204,2.0,0.1118736267089843
,,354,,211.234.180.204,2.0,0.0784025192260742
,,355,,211.234.180.204,2.0,0.0783097743988037
,,366,,211.234.180.204,2.0,0.1296315193176269
,,367,,211.234.180.204,2.0,0.1297929286956787
,,368,,211.234.180.204,2.0,0.1299395561218261
,,369,,211.234.180.204,2.0,0.1301405429840088
,,370,,211.234.180.204,2.0,0.1314005851745605
,,372,,211.234.180.204,2.0,0.0988290309906005
,,382,,211.234.180.204,2.0,0.0654768943786621
,,408,,211.234.180.204,2.0,0.0449442863464355
,,409,,211.234.180.204,2.0,0.045116901397705
,,410,,211.234.180.204,2.0,0.046278953552246
,,411,,211.234.180.204,2.0,0.0472848415374755
,,412,,211.234.180.204,2.0,0.0482230186462402
,,528,,211.234.180.204,2.0,0.054103136062622
,,529,,211.234.180.204,2.0,0.0540485382080078
,,530,,211.234.180.204,2.0,0.0541481971740722
,,531,,211.234.180.204,2.0,0.0542635917663574
,,532,,211.234.180.204,2.0,0.0543208122253418
,,681,,211.234.180.204,2.0,0.0369949340820312
,,742,,211.234.180.204,2.0,0.0334501266479492
,,850,,211.234.180.204,2.0,0.0428409576416015
,,952,,211.234.180.204,2.0,0.0370023250579834
,,1216,,211.234.180.204,2.0,0.0420570373535156
,,1456,,211.234.180.204,2.0,0.0371992588043212
,,1468,,211.234.180.204,2.0,0.0339081287384033
,,1516,,211.234.180.204,2.0,0.0402748584747314
,,1678,,211.234.180.204,2.0,0.0406575202941894
,,1696,,211.234.180.204,2.0,0.0363929271697998
,,1725,,211.234.180.204,2.0,0.0474154949188232
,,1906,,211.234.180.204,2.0,0.0494804382324218
,,2320,,211.234.180.204,2.0,0.0415980815887451
,,2326,,211.234.180.204,2.0,0.0356409549713134
,,2626,,211.234.180.204,2.0,0.042266845703125
,,2709,,211.234.180.204,2.0,0.0454795360565185
,,2764,,211.234.180.204,2.0,0.0345015525817871
,,2770,,211.234.180.204,2.0,0.0393910408020019
,,2817,,211.234.180.204,2.0,0.0423920154571533
,,2870,,211.234.180.204,2.0,0.1766304969787597
,,2871,,211.234.180.204,2.0,0.1767768859863281
,,2872,,211.234.180.204,2.0,0.1769187450408935
,,2874,,211.234.180.204,2.0,0.144350528717041
,,2875,,211.234.180.204,2.0,0.1445980072021484
,,2876,,211.234.180.204,2.0,0.1554298400878906
,,2877,,211.234.180.204,2.0,0.1657090187072754
,,2882,,211.234.180.204,2.0,0.1326708793640136
,,2883,,211.234.180.204,2.0,0.1328206062316894
,,2884,,211.234.180.204,2.0,0.1329741477966308
,,2886,,211.234.180.204,2.0,0.0998766422271728
,,2887,,211.234.180.204,2.0,0.1000385284423828
,,2888,,211.234.180.204,2.0,0.1002919673919677
,,2889,,211.234.180.204,2.0,0.1005370616912841
,,2890,,211.234.180.204,2.0,0.1007711887359619
,,2896,,211.234.180.204,2.0,0.0780367851257324
,,2898,,211.234.180.204,2.0,0.0444631576538085
,,2899,,211.234.180.204,2.0,0.0444157123565673
,,2900,,211.234.180.204,2.0,0.0456316471099853
,,2901,,211.234.180.204,2.0,0.0466854572296142
,,2902,,211.234.180.204,2.0,0.0467250347137451
,,2910,,211.234.180.204,2.0,0.0482861995697021
,,2911,,211.234.180.204,2.0,0.0483326911926269
,,2912,,211.234.180.204,2.0,0.0484094619750976
,,2913,,211.234.180.204,2.0,0.0488989353179931
,,2914,,211.234.180.204,2.0,0.048907995223999
,,2920,,211.234.180.204,2.0,0.03704833984375
,,2944,,211.234.180.204,2.0,0.0417840480804443
,,2972,,211.234.180.204,2.0,0.0934991836547851
,,2973,,211.234.180.204,2.0,0.0936751365661621
,,2974,,211.234.180.204,2.0,0.0938336849212646
,,2976,,211.234.180.204,2.0,0.0605130195617675
,,2977,,211.234.180.204,2.0,0.0604948997497558
,,2978,,211.234.180.204,2.0,0.0604662895202636
,,2979,,211.234.180.204,2.0,0.0604398250579834
,,2980,,211.234.180.204,2.0,0.060443639755249
,,2984,,211.234.180.204,2.0,0.1670970916748047
,,2985,,211.234.180.204,2.0,0.1673159599304199
,,2986,,211.234.180.204,2.0,0.1680352687835693
,,2988,,211.234.180.204,2.0,0.1371955871582031
,,2989,,211.234.180.204,2.0,0.1380949020385742
,,2990,,211.234.180.204,2.0,0.1389367580413818
,,2991,,211.234.180.204,2.0,0.1450991630554199
,,2996,,211.234.180.204,2.0,0.1118354797363281
,,2997,,211.234.180.204,2.0,0.1119372844696044
,,2998,,211.234.180.204,2.0,0.1119959354400634
,,3000,,211.234.180.204,2.0,0.0784327983856201
,,3001,,211.234.180.204,2.0,0.0784516334533691
,,3002,,211.234.180.204,2.0,0.0800578594207763
,,3003,,211.234.180.204,2.0,0.0801203250885009
,,3004,,211.234.180.204,2.0,0.0802242755889892
,,3030,,211.234.180.204,2.0,0.1331279277801513
,,3031,,211.234.180.204,2.0,0.1331515312194824
,,3032,,211.234.180.204,2.0,0.1331596374511718
,,3033,,211.234.180.204,2.0,0.1331644058227539
