method,gop,prr,avg_ssim,avg_datasize
kt,1,0.607901234567901,0.587651240588949,8654.49283950617
kt,10,0.607901234567901,0.450066885417937,4509.54469135802
kt,30,0.607901234567901,0.424279014493709,3259.76592592593
lg,1,0.783703703703704,0.757604930263495,8654.49283950617
lg,10,0.783703703703704,0.6932596290883,4509.54469135802
lg,30,0.783703703703704,0.686771181970976,3259.76592592593
combine,1,0.89283950617284,0.863101064307756,17308.9856790123
combine,10,0.89283950617284,0.823285276066802,9019.08938271605
combine,30,0.89283950617284,0.815244196353211,6519.53185185185
,,,,
,,,,
,,,,
,,,,
rl,action,0.85820158,0.79171986458679,3669.8176
